longitude,latitude,YR,MO,X,Y,TOT,CR
-73.9145255,40.83343589,2014,3,1007903,242932,1,ROBBERY
-73.7887157,40.70003296,2014,7,1042835,194388,1,ROBBERY
-73.99452831,40.57669492,2014,3,985770,149382,1,FELONY ASSAULT
-73.99629953,40.57460345,2014,3,985278,148620,1,ROBBERY
-73.95120699,40.59832196,2014,3,997800,157265,1,ROBBERY
-73.8865508,40.66032781,2014,7,1015726,179872,1,ROBBERY
-73.91183024,40.69394877,2014,3,1008700,192113,1,FELONY ASSAULT
-73.99204106,40.57499849,2014,3,986461,148764,1,FELONY ASSAULT
-73.87049745,40.66762296,2014,3,1020176,182536,2,ROBBERY
-73.95306261,40.68893083,2014,3,997267,190276,1,FELONY ASSAULT
-73.97940498,40.69538327,2014,3,989961,192624,1,FELONY ASSAULT
-73.94256678,40.82195016,2014,3,1000146,238741,1,ROBBERY
-73.98106557,40.72735455,2014,3,989498,204272,1,FELONY ASSAULT
-73.93694482,40.82961321,2014,3,1001700,241534,1,ROBBERY
-74.0000324,40.57724401,2014,7,984241,149582,1,ROBBERY
-74.22932872,40.54628416,2014,3,920515,138386,2,ROBBERY
-74.16906784,40.5823073,2014,3,937288,151472,1,ROBBERY
-73.9028977,40.84757292,2014,3,1011115,248086,1,FELONY ASSAULT
-73.84867809,40.87738513,2014,3,1026097,258969,1,FELONY ASSAULT
-73.88524732,40.87748218,2014,3,1015984,258989,1,FELONY ASSAULT
-74.10660609,40.56877897,2014,7,954632,146516,1,FELONY ASSAULT
-73.92017914,40.81985908,2014,3,1006343,237984,1,FELONY ASSAULT
-73.93557602,40.59002222,2014,3,1002143,154244,2,FELONY ASSAULT
-73.94153462,40.62732718,2014,3,1000479,167834,1,FELONY ASSAULT
-73.9384409,40.68499068,2014,3,1001323,188843,1,ROBBERY
-73.96364126,40.57819894,2014,3,994350,149932,1,ROBBERY
-73.93960662,40.69572335,2014,3,1000997,192753,1,FELONY ASSAULT
-73.92467828,40.68169425,2014,3,1005141,187645,1,ROBBERY
-73.94858489,40.68794628,2014,3,998509,189918,1,FELONY ASSAULT
-73.99071967,40.75850591,2014,3,986821,215621,1,ROBBERY
-73.98472329,40.73051431,2014,3,988484,205423,1,FELONY ASSAULT
-73.95050219,40.66985632,2014,7,997981,183327,1,FELONY ASSAULT
-73.94220896,40.78881291,2014,3,1000253,226668,1,FELONY ASSAULT
-73.95034203,40.81233901,2014,3,997996,235238,1,ROBBERY
-73.97970234,40.73733973,2014,3,989875,207910,1,FELONY ASSAULT
